2026-04-01 17:00:43.127 [main] INFO  c.c.xiaochangshu.auth.XiaochangshuAuthApplication - Starting XiaochangshuAuthApplication using Java 17.0.16 with PID 4196 (E:\goodworlk\xiaohongshu\xiaochangshu-auth\target\classes started by 常利星 in E:\goodworlk\xiaohongshu)
2026-04-01 17:00:43.132 [main] INFO  c.c.xiaochangshu.auth.XiaochangshuAuthApplication - The following 1 profile is active: "dev"
2026-04-01 17:00:45.156 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-01 17:00:45.166 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-01 17:00:45.166 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2026-04-01 17:00:45.260 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-01 17:00:45.261 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1986 ms
2026-04-01 17:00:45.846 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-04-01 17:00:46.328 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-04-01 17:00:46.659 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-04-01 17:00:46.673 [main] INFO  c.c.xiaochangshu.auth.XiaochangshuAuthApplication - Started XiaochangshuAuthApplication in 5.487 seconds (process running for 6.946)
